Office,CensusPop,raceYear,weird,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1982,1102,General,Colorado,"302,740","Fuhr, John D.",Challenger,"627,960","Lamm, Richard D.",Incumbent,N/A,N/A,N/A,N/A,"25,321","325,220",D,0,32.53,67.47,
Governor,N/A,1982,1102,General,Connecticut,"497,773","Rome, Lewis B.",Challenger,"578,264","O'Neill, William A.",Incumbent,N/A,N/A,N/A,N/A,"7,839","80,491",D,0,46.26,53.74,
Governor,N/A,1982,1102,General,Florida,"949,013","Bafalis, L. A.",Challenger,"1,739,553","Graham, Robert",Incumbent,N/A,N/A,N/A,N/A,N/A,"790,540",D,0,35.3,64.7,
Governor,N/A,1982,1102,General,Georgia,"434,496","Bell, Robert H.",Challenger,"734,092","Harris, Joe Frank",Challenger,N/A,N/A,N/A,N/A,455,"299,596",D,0,37.18,62.82,
Governor,N/A,1982,1102,General,Hawaii,"81,507","Anderson, D. G.",Challenger,"141,043","Ariyoshi, George R.",Incumbent,N/A,N/A,N/A,N/A,"89,303","59,536",D,0,36.62,63.38,
Governor,N/A,1982,1102,General,Iowa,"548,313","Branstad, Terry E.",Challenger,"483,291","Conlin, Roxanne",Challenger,N/A,N/A,N/A,N/A,"6,625","65,022",R,0,53.15,46.85,
Governor,N/A,1982,1102,General,Idaho,"161,157","Batt, Phil",Challenger,"165,365","Evans, John V.",Incumbent,N/A,N/A,N/A,N/A,N/A,"4,208",D,0,49.36,50.64,
Governor,N/A,1982,1102,General,Illinois,"1,816,101","Thompson, James R.",Challenger,"1,811,027","Stevenson, Adlai E. III",Challenger,N/A,N/A,N/A,N/A,"46,553","5,074",R,0,50.07,49.93,
Governor,N/A,1982,1102,General,Kansas,"339,356","Hardage, Sam",Challenger,"405,772","Carlin, John",Incumbent,N/A,N/A,N/A,N/A,"18,135","66,416",D,0,45.54,54.46,
Governor,N/A,1982,1102,General,Massachusetts,"749,679","Searsbrennan, John W.",Challenger,"1,219,109","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"81,466","469,430",D,0,38.08,61.92,
Governor,N/A,1982,1102,General,Maryland,"432,826","Pascal, Robert A.",Challenger,"705,910","Hughes, Harry",Incumbent,N/A,N/A,N/A,N/A,413,"273,084",D,0,38.01,61.99,
Governor,N/A,1982,1102,General,Maine,"172,949","Cragin, Charles l.",Challenger,"281,066","Brennan, Joseph E.",Incumbent,N/A,N/A,N/A,N/A,"6,280","108,117",D,0,38.09,61.91,
Governor,N/A,1982,1102,General,Michigan,"1,369,582","Headlee, Richard H.",Challenger,"1,561,291","Blanchard, James J.",Challenger,N/A,N/A,N/A,N/A,"109,135","191,709",D,0,46.73,53.27,
Governor,N/A,1982,1102,General,Minnesota,"715,796","Whitney, Wheelock",Challenger,"1,049,104","Perpich, Rudy",Incumbent,N/A,N/A,N/A,N/A,"24,639","333,308",D,0,40.56,59.44,
Governor,N/A,1982,1102,General,Nebraska,"270,203","Thone, Charles",Incumbent,"277,436","Kerrey, Bob",Challenger,N/A,N/A,N/A,N/A,263,"7,233",D,0,49.34,50.66,
Governor,N/A,1982,1102,General,New Hampshire,"145,389","Sununu, John E.",Challenger,"132,317","Gallen, Hugh J.",Incumbent,N/A,N/A,N/A,N/A,"4,882","13,072",R,0,52.35,47.65,
Governor,N/A,1982,1102,General,New Mexico,"191,626","Irick, John B.",Challenger,"215,840","Anaya, Toney",Challenger,N/A,N/A,N/A,N/A,N/A,"24,214",D,0,47.03,52.97,
Governor,N/A,1982,1102,General,Nevada,"100,104","List, Robert F.",Challenger,"128,132","Bryan, Richard H.",Challenger,N/A,N/A,N/A,N/A,"11,515","28,028",D,0,43.86,56.14,
Governor,N/A,1982,1102,General,New York,"2,494,827","Lehrman, Lew",Challenger,"2,675,213","Cuomo, Mario M.",Challenger,N/A,N/A,N/A,N/A,"84,851","180,386",D,0,48.26,51.74,
Governor,N/A,1982,1102,General,Ohio,"1,303,962","Brown, Clarence J. Jr.",Challenger,"1,981,952","Celeste, Richard F.",Challenger,N/A,N/A,N/A,N/A,"70,877","677,990",D,0,39.68,60.32,
Governor,N/A,1982,1102,General,Oklahoma,"332,207","Daxon, Tom",Challenger,"548,159","Nigh, George",Incumbent,N/A,N/A,N/A,N/A,"2,764","215,952",D,0,37.74,62.26,
Governor,N/A,1982,1102,General,Oregon,"639,841","Atiyeh, Victor",Incumbent,"374,316","Kulongoski, Ted",Challenger,N/A,N/A,N/A,N/A,"27,852","265,525",R,0,63.09,36.91,
Governor,N/A,1982,1102,General,Pennsylvania,"1,872,784","Thornburgh, Richard",Incumbent,"1,772,353","Ertel, Allen E.",Challenger,N/A,N/A,N/A,N/A,"38,848","100,431",R,0,51.38,48.62,
Governor,N/A,1982,1102,General,Rhode Island,"79,602","Marzullo, Vincent",Challenger,"247,208","Garrahy, J. Joseph",Incumbent,N/A,N/A,N/A,N/A,"10,438","167,606",D,0,24.36,75.64,
Governor,N/A,1982,1102,General,South Carolina,"202,806","Workman, W. D. III",Challenger,"468,819","Riley, Richard W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"266,013",D,0,30.2,69.8,
Governor,N/A,1982,1102,General,South Dakota,"197,429","Janklow, William J.",Incumbent,"81,136","O'Connor, Michael J.",Challenger,N/A,N/A,N/A,N/A,N/A,"116,293",R,0,70.87,29.13,
